,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,distance_travelled,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time,risk_level,risk_level_train,risk_propagation_pred,risk_spreading_pred
167,19,64.0,2526.0,-0.45,20.8,88.0,0.011,30.6,68.0,6,11.3,2.4,20.0,70.0,0.0,1,-1,1,2
168,19,64.0,2536.0,-0.18,51.0,88.0,0.0218999999999999,85.9,68.0,6,11.3,2.4,18.0,70.0,0.0,1,1,1,1
169,19,66.0,2620.0,0.18,60.8,88.0,0.0168,90.2,68.0,6,11.3,2.4,18.0,90.0,0.0,1,-1,1,1
170,19,68.0,2663.0,0.48,63.9,88.0,0.0217,90.6,68.0,6,11.3,2.4,18.0,90.0,0.0,1,-1,1,1
171,19,67.0,2660.0,-0.45,17.6,88.0,0.0181999999999998,22.7,68.0,6,11.3,2.4,18.0,90.0,0.0,1,-1,1,1
172,19,65.0,2590.0,-0.67,17.6,88.0,0.0147000000000001,24.3,68.0,6,11.3,2.4,18.0,90.0,0.0,1,-1,1,1
173,19,64.0,2541.0,-0.37,60.8,88.0,0.0170999999999998,88.2,68.0,6,11.3,2.4,17.0,90.0,0.0,1,-1,1,1
174,19,66.0,2574.0,0.44,65.9,88.0,0.0225999999999999,89.8,67.0,6,11.3,2.4,16.0,90.0,0.0,1,-1,1,1
175,19,66.0,2591.0,0.0,54.1,88.0,0.0167000000000001,89.8,67.0,6,11.3,2.4,16.0,90.0,0.0,1,-1,1,1
176,19,67.0,2651.0,0.0,69.0,88.0,0.0161999999999999,91.0,67.0,6,11.3,2.4,15.0,90.0,0.0,1,-1,1,1
177,19,69.0,2699.0,0.44,84.7,88.0,0.0223999999999999,93.3,67.0,6,11.3,2.4,14.0,90.0,0.0,1,-1,1,1
178,19,70.0,2757.0,0.36,82.4,88.0,0.0193999999999998,93.3,66.0,6,11.3,2.4,14.0,90.0,0.0,1,1,1,1
179,19,71.0,2789.0,0.27,80.4,88.0,0.0154,91.8,66.0,6,11.3,2.4,14.0,90.0,0.0,1,-1,1,1
180,19,72.0,2846.0,0.25,75.3,88.0,0.0236,92.2,66.0,6,11.3,2.4,11.0,90.0,0.0,1,-1,1,1
181,19,73.0,2886.0,0.19,72.2,89.0,0.0175999999999998,92.2,66.0,6,11.3,2.4,8.0,90.0,0.0,1,-1,1,1
182,19,75.0,2941.0,0.22,83.9,89.0,0.0244000000000002,96.1,66.0,6,11.3,2.4,8.0,90.0,0.0,1,-1,1,1
183,19,76.0,3000.0,0.24,82.7,89.0,0.0236999999999998,96.5,66.0,6,11.3,2.4,9.0,90.0,0.0,1,-1,1,1
184,19,77.0,3044.0,0.18,80.0,90.0,0.0207000000000001,96.1,66.0,6,11.3,2.4,9.0,90.0,0.0,2,-1,2,2
185,19,78.0,3139.0,0.37,71.8,90.0,0.0195999999999998,95.3,67.0,6,11.3,2.4,9.0,90.0,0.0,2,-1,1,1
186,19,76.0,3122.0,-0.47,71.0,90.0,0.0176,91.8,67.0,6,11.3,2.4,7.0,90.0,0.0,1,-1,1,1
187,19,76.0,2378.0,-0.23,84.7,90.0,0.0248999999999999,92.2,67.0,6,11.3,2.4,6.0,90.0,0.0,1,-1,1,1
188,19,76.0,2376.0,0.0,58.0,90.0,0.0211000000000001,88.2,68.0,6,11.3,2.4,5.0,90.0,0.0,1,-1,1,1
189,19,76.0,2370.0,0.0,58.8,90.0,0.0141,89.8,68.0,6,11.3,2.4,6.0,90.0,0.0,1,-1,1,1
190,19,77.0,2385.0,0.0,85.1,90.0,0.0248999999999999,92.2,68.0,6,11.3,2.4,6.0,90.0,0.0,1,-1,1,1
191,19,77.0,2396.0,0.0,85.5,90.0,0.0256,91.8,66.0,6,11.3,2.4,7.0,90.0,0.0,1,-1,1,1
192,19,78.0,2407.0,0.0,83.5,90.0,0.0199,91.8,66.0,6,11.3,2.4,10.0,90.0,0.0,1,-1,1,1
193,19,78.0,2422.0,0.0,81.6,90.0,0.0183999999999999,91.8,66.0,6,11.3,2.4,11.0,90.0,0.0,1,-1,1,1
194,19,78.0,2435.0,0.0,81.6,90.0,0.0262,91.8,66.0,6,11.3,2.4,11.0,90.0,0.0,1,-1,1,1
